OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
9890,6,363943,516,N16,1,1,5283,*,,39,TI,I,AV.DE LA PESETA-CORONA,28,079,MADRID,A,Calle de la Corona N 24,20190801,20190805,,259.3408,16.884,6,_,,,6_N_516_____1_IT_1_6_5283_*__TI_I_39,,,,6_N_516___,6_N_516_____1_IT_1,6_5283,6_5283_*,6_5283_,
9891,6,364247,155,155,1,1,5283,*,,14,TI,I,AV.DE LA PESETA-CORONA,28,079,MADRID,A,Calle de la Corona N 24,20190927,20191001,,259.3408,14.275,6,_,,,6__155_____1_IT_1_6_5283_*__TI_I_14,,,,6__155___,6__155_____1_IT_1,6_5283,6_5283_*,6_5283_,
9892,6,339726,035,35,2,1,5284,*,,3,TI,I,AV.DE LA PESETA-MARAVEDI,28,079,MADRID,A,Calle del Ducado N 1,20081223,20081210,,359.7934,11.821,6,_,,,6__35_____2_IT_1_6_5284_*__TI_I_3,,,,6__35___,6__35_____2_IT_1,6_5284,6_5284_*,6_5284_,
9893,6,339745,118,118,1,1,5284,*,,33,TI,I,AV.DE LA PESETA-MARAVEDI,28,079,MADRID,A,Calle del Ducado N 1,20081229,20081210,,359.7934,11.433,6,_,,,6__118_____1_IT_1_6_5284_*__TI_I_33,,,,6__118___,6__118_____1_IT_1,6_5284,6_5284_*,6_5284_,
9894,6,363551,401,E1,1,1,5284,*,,9,TI,I,AV.DE LA PESETA-MARAVEDI,28,079,MADRID,A,Calle del Ducado N 1,20190430,20190507,,771.5648,0,6,_,,,6__401____-_1_IT_1_6_5284_*__TI_I_9,-,-,,6__401___,6__401____-_1_IT_1,6_5284,6_5284_*,6_5284_,
9895,6,363943,516,N16,1,1,5284,*,,38,TI,I,AV.DE LA PESETA-MARAVEDI,28,079,MADRID,A,Calle del Ducado N 1,20190801,20190805,,359.7934,16.884,6,_,,,6_N_516_____1_IT_1_6_5284_*__TI_I_38,,,,6_N_516___,6_N_516_____1_IT_1,6_5284,6_5284_*,6_5284_,
9896,6,364247,155,155,1,1,5284,*,,13,TI,I,AV.DE LA PESETA-MARAVEDI,28,079,MADRID,A,Calle del Ducado N 1,20190927,20191001,,204.5774,14.275,6,_,,,6__155_____1_IT_1_6_5284_*__TI_I_13,,,,6__155___,6__155_____1_IT_1,6_5284,6_5284_*,6_5284_,
9897,6,364247,155,155,1,1,5285,*,,12,TI,I,MARAVEDI-AV.DEL  EURO,28,079,MADRID,A,Calle del Maravedí SN SN,20190927,20191001,,327.2269,14.511,6,_,,,6__155_____1_IT_1_6_5285_*__TI_I_12,,,,6__155___,6__155_____1_IT_1,6_5285,6_5285_*,6_5285_,
9898,6,364247,155,155,1,1,5286,*,,11,TI,I,AV.DEL EURO-DURO,28,079,MADRID,A,Avda del Euro SN SN,20190927,20191001,,249.725,,6,_,,,6__155_____1_IT_1_6_5286_*__TI_I_11,,,,6__155___,6__155_____1_IT_1,6_5286,6_5286_*,6_5286_,
9899,6,364247,155,155,1,1,5287,*,,10,TI,I,AV.DEL EURO-PESO HISPANO,28,079,MADRID,A,Avda del Euro SN SN,20190927,20191001,,211.921,,6,_,,,6__155_____1_IT_1_6_5287_*__TI_I_10,,,,6__155___,6__155_____1_IT_1,6_5287,6_5287_*,6_5287_,
9900,6,364248,155,155,2,1,5288,*,,16,TI,I,AV.DEL EURO-MARAVEDI,28,079,MADRID,A,Avda del Euro N 27C,20190927,20191001,,183.483,,6,_,,,6__155_____2_IT_1_6_5288_*__TI_I_16,,,,6__155___,6__155_____2_IT_1,6_5288,6_5288_*,6_5288_,
