OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
3364,6,339726,035,35,2,1,1754,*,,24,TI,I,GRAL.RICARDOS-PUERTA BONITA,28,079,MADRID,A,Calle del General Ricardos N 171,20081223,20081210,,330.444,30,6,_,,,6__35_____2_IT_1_6_1754_*__TI_I_24,,,,6__35___,6__35_____2_IT_1,6_1754,6_1754_*,6_1754_,
3365,6,352422,034,34,2,1,1754,*,,22,TI,I,GRAL.RICARDOS-PUERTA BONITA,28,079,MADRID,A,Calle del General Ricardos N 171,19991221,20140526,,330.444,30,6,_,,,6__34_____2_IT_1_6_1754_*__TI_I_22,,,,6__34___,6__34_____2_IT_1,6_1754,6_1754_*,6_1754_,
3366,6,359516,517,N17,2,1,1754,*,,18,TI,I,GRAL.RICARDOS-PUERTA BONITA,28,079,MADRID,A,Calle del General Ricardos N 171,20170525,20170524,,330.444,30,6,_,,,6_N_517_____2_IT_1_6_1754_*__TI_I_18,,,,6_N_517___,6_N_517_____2_IT_1,6_1754,6_1754_*,6_1754_,
3367,6,351604,526,N26,1,1,1758,*,,24,TI,I,OCA-MATILDE HERNANDEZ,28,079,MADRID,A,Calle de la Oca N 26,20140204,20140113,,264.9589,0,6,_,,,6_N_526_____1_IT_1_6_1758_*__TI_I_24,,-,,6_N_526___,6_N_526____-_1_IT_1,6_1758,6_1758_*,6_1758_,
3368,6,359475,055,55,1,1,1758,*,,14,TI,I,OCA-MATILDE HERNANDEZ,28,079,MADRID,A,Calle de la Oca N 26,20170524,20170524,,266.6764,-1,6,_,,,6__55_____1_IT_1_6_1758_*__TI_I_14,,,,6__55___,6__55_____1_IT_1,6_1758,6_1758_*,6_1758_,
3369,6,365560,516,N16,2,1,1758,*,,19,TI,I,OCA-MATILDE HERNANDEZ,28,079,MADRID,A,Calle de la Oca N 26,20200818,20200820,,266.6764,-1,6,_,,,6_N_516_____2_IT_1_6_1758_*__TI_I_19,,,,6_N_516___,6_N_516_____2_IT_1,6_1758,6_1758_*,6_1758_,
3370,6,359475,055,55,1,1,1760,*,,16,TI,I,NTRA.SRA.VALVANERA-ALGODRE,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 102,20170524,20170524,,228.631,13.36,6,_,,,6__55_____1_IT_1_6_1760_*__TI_I_16,,,,6__55___,6__55_____1_IT_1,6_1760,6_1760_*,6_1760_,
3371,6,365560,516,N16,2,1,1760,*,,21,TI,I,NTRA.SRA.VALVANERA-ALGODRE,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 102,20200818,20200820,,228.631,13.36,6,_,,,6_N_516_____2_IT_1_6_1760_*__TI_I_21,,,,6_N_516___,6_N_516_____2_IT_1,6_1760,6_1760_*,6_1760_,
3372,6,284279,119,119,1,1,1761,*,,21,TI,I,NTRA.SRA.VALVANERA-LAGUNA,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 120,19991221,19980905,,213.7627,12.135,6,93_166,,,6__119_____1_IT_1_6_1761_*__TI_I_21,,,,6__119___,6__119_____1_IT_1,6_1761,6_1761_*,6_1761_,
3373,6,359475,055,55,1,1,1761,*,,17,TI,I,NTRA.SRA.VALVANERA-LAGUNA,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 120,20170524,20170524,,253.8147,13.517,6,93_166,,,6__55_____1_IT_1_6_1761_*__TI_I_17,,,,6__55___,6__55_____1_IT_1,6_1761,6_1761_*,6_1761_,
3374,6,284279,119,119,1,1,1762,*,,22,TI,I,ALHAMBRA-GTA.LOS CARMENES,28,079,MADRID,A,Calle de la Alhambra N 89,19991221,19980905,,373.4072,12.135,6,_,,,6__119_____1_IT_1_6_1762_*__TI_I_22,,,,6__119___,6__119_____1_IT_1,6_1762,6_1762_*,6_1762_,
3375,6,359475,055,55,1,1,1762,*,,18,TI,I,ALHAMBRA-GTA.LOS CARMENES,28,079,MADRID,A,Calle de la Alhambra N 89,20170524,20170524,,373.407,13.601,6,_,,,6__55_____1_IT_1_6_1762_*__TI_I_18,,,,6__55___,6__55_____1_IT_1,6_1762,6_1762_*,6_1762_,
3376,6,359476,055,55,2,1,1763,*,,16,TI,I,NTRA.SRA.VALVANERA-ALGODRE,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 99,20170524,20170524,,269.5721,13.372,6,_,,,6__55_____2_IT_1_6_1763_*__TI_I_16,,,,6__55___,6__55_____2_IT_1,6_1763,6_1763_*,6_1763_,
3377,6,363943,516,N16,1,1,1763,*,,17,TI,I,NTRA.SRA.VALVANERA-ALGODRE,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 99,20190801,20190805,,401.9079,-1,6,_,,,6_N_516_____1_IT_1_6_1763_*__TI_I_17,,,,6_N_516___,6_N_516_____1_IT_1,6_1763,6_1763_*,6_1763_,
3378,6,359476,055,55,2,1,1764,*,,17,TI,I,NTRA.SRA.VALVANERA-TORTOLA,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 75,20170524,20170524,,167.4113,13.372,6,_,,,6__55_____2_IT_1_6_1764_*__TI_I_17,,,,6__55___,6__55_____2_IT_1,6_1764,6_1764_*,6_1764_,
3379,6,363943,516,N16,1,1,1764,*,,18,TI,I,NTRA.SRA.VALVANERA-TORTOLA,28,079,MADRID,A,Avda de Nuestra Señora de Valvanera N 75,20190801,20190805,,167.4113,-1,6,_,,,6_N_516_____1_IT_1_6_1764_*__TI_I_18,,,,6_N_516___,6_N_516_____1_IT_1,6_1764,6_1764_*,6_1764_,
3380,6,283642,247,247,2,1,1768,*,,6,TI,I,AV.OPORTO-PORTALEGRE,28,079,MADRID,A,Avda de Oporto N 25,19991221,19861001,,361.2137,9.893,6,93_285,,,6__47_B____2_IT_1_6_1768_*__TI_I_6,,,,6__47_B__,6__47_B____2_IT_1,6_1768,6_1768_*,6_1768_,
3381,6,359476,055,55,2,1,1768,*,,21,TI,I,AV.OPORTO-PORTALEGRE,28,079,MADRID,A,Avda de Oporto N 25,20170524,20170524,,361.2137,0,6,93_285,,,6__55_____2_IT_1_6_1768_*__TI_I_21,,,,6__55___,6__55_____2_IT_1,6_1768,6_1768_*,6_1768_,
3382,6,359516,517,N17,2,1,1768,*,,21,TI,I,AV.OPORTO-PORTALEGRE,28,079,MADRID,A,Avda de Oporto N 25,20170525,20170524,,361.2137,0,6,93_285,,,6_N_517_____2_IT_1_6_1768_*__TI_I_21,,,,6_N_517___,6_N_517_____2_IT_1,6_1768,6_1768_*,6_1768_,
3383,6,367429,081,81,1,1,1768,*,,3,TI,I,AV.OPORTO-PORTALEGRE,28,079,MADRID,A,Avda de Oporto N 25,20211110,20211108,,361.2137,0,6,93_285,,,6__81_____1_IT_1_6_1768_*__TI_I_3,,,,6__81___,6__81_____1_IT_1,6_1768,6_1768_*,6_1768_,
3384,6,359476,055,55,2,1,1769,*,,23,TI,I,Pº STA.Mª CABEZA-PZA.ELIPTICA,28,079,MADRID,A,Paseo de Santa María de la Cabeza N 168,20170524,20170524,,264.3783,0,6,90_36,,,6__55_____2_IT_1_6_1769_*__TI_I_23,,,,6__55___,6__55_____2_IT_1,6_1769,6_1769_*,6_1769_,
3385,6,359516,517,N17,2,1,1769,*,,23,TI,I,Pº STA.Mª CABEZA-PZA.ELIPTICA,28,079,MADRID,A,Paseo de Santa María de la Cabeza N 168,20170525,20170524,,264.3783,0,6,90_36,,,6_N_517_____2_IT_1_6_1769_*__TI_I_23,,,,6_N_517___,6_N_517_____2_IT_1,6_1769,6_1769_*,6_1769_,
3386,6,341747,060,60,2,1,1771,*,,18,TI,I,Pº STA.Mª CABEZA-BALEARES,28,079,MADRID,A,Calle de Manuel Noya N 2B,20100208,20091211,,384.8788,12.426,6,_,,,6__60_____2_IT_1_6_1771_*__TI_I_18,,,,6__60___,6__60_____2_IT_1,6_1771,6_1771_*,6_1771_,
3387,6,359476,055,55,2,1,1771,*,,25,TI,I,Pº STA.Mª CABEZA-BALEARES,28,079,MADRID,A,Calle de Manuel Noya N 2B,20170524,20170524,,384.8788,12.751,6,_,,,6__55_____2_IT_1_6_1771_*__TI_I_25,,,,6__55___,6__55_____2_IT_1,6_1771,6_1771_*,6_1771_,
3388,6,359516,517,N17,2,1,1771,*,,25,TI,I,Pº STA.Mª CABEZA-BALEARES,28,079,MADRID,A,Calle de Manuel Noya N 2B,20170525,20170524,,384.8788,12.364,6,_,,,6_N_517_____2_IT_1_6_1771_*__TI_I_25,,,,6_N_517___,6_N_517_____2_IT_1,6_1771,6_1771_*,6_1771_,
3389,6,363552,401,E1,2,1,1771,*,,8,TI,I,Pº STA.Mª CABEZA-BALEARES,28,079,MADRID,A,Calle de Manuel Noya N 2B,20190430,20190507,,883.2713,14.381,6,_,,,6__401____-_2_IT_1_6_1771_*__TI_I_8,-,-,,6__401___,6__401____-_2_IT_1,6_1771,6_1771_*,6_1771_,
3390,6,334567,140,140,2,1,1633,*,,8,TI,I,LUCANO-FENELON,28,079,MADRID,A,Calle de Lucano N 38,20060302,20050721,,221.585,30,6,_,,,6__140_____2_IT_1_6_1633_*__TI_I_8,,,,6__140___,6__140_____2_IT_1,6_1633,6_1633_*,6_1633_,
3391,6,337513,048,48,2,1,1633,*,,3,TI,I,LUCANO-FENELON,28,079,MADRID,A,Calle de Lucano N 38,20080121,20070929,,229.739,13.36,6,_,,,6__48_____2_IT_1_6_1633_*__TI_I_3,,,,6__48___,6__48_____2_IT_1,6_1633,6_1633_*,6_1633_,
3392,6,340723,505,N5,2,1,1633,*,,19,TI,I,LUCANO-FENELON,28,079,MADRID,A,Calle de Lucano N 38,20090622,20090518,,221.585,30,6,_,,,6_N_505_____2_IT_1_6_1633_*__TI_I_19,,,,6_N_505___,6_N_505_____2_IT_1,6_1633,6_1633_*,6_1633_,
3393,6,334567,140,140,2,1,1634,*,,9,TI,I,ETRURIA-TROYA,28,079,MADRID,A,Calle de Etruria N 11,20060302,20050721,,251.8393,13.882,6,_,,,6__140_____2_IT_1_6_1634_*__TI_I_9,,,,6__140___,6__140_____2_IT_1,6_1634,6_1634_*,6_1634_,
3394,6,337513,048,48,2,1,1634,*,,4,TI,I,ETRURIA-TROYA,28,079,MADRID,A,Calle de Etruria N 11,20080121,20070929,,251.8393,12.561,6,_,,,6__48_____2_IT_1_6_1634_*__TI_I_4,,,,6__48___,6__48_____2_IT_1,6_1634,6_1634_*,6_1634_,
3395,6,340723,505,N5,2,1,1634,*,,20,TI,I,ETRURIA-TROYA,28,079,MADRID,A,Calle de Etruria N 11,20090622,20090518,,251.8393,17.393,6,_,,,6_N_505_____2_IT_1_6_1634_*__TI_I_20,,,,6_N_505___,6_N_505_____2_IT_1,6_1634,6_1634_*,6_1634_,
3396,6,337513,048,48,2,1,1635,*,,5,TI,I,AV.CANILLEJAS A VICALVARO-ALBAIDA,28,079,MADRID,A,Avda de Canillejas a Vicálvaro N 54,20080121,20070929,,351.6015,12.561,6,_,,,6__48_____2_IT_1_6_1635_*__TI_I_5,,,,6__48___,6__48_____2_IT_1,6_1635,6_1635_*,6_1635_,
3397,6,366343,167,167,2,1,1635,*,,14,TI,I,AV.CANILLEJAS A VICALVARO-ALBAIDA,28,079,MADRID,A,Avda de Canillejas a Vicálvaro N 54,20210216,20210216,,212.2126,0,6,_,,,6__167_____2_IT_1_6_1635_*__TI_I_14,,616702,,6__167___,6__167____616702_2_IT_1,6_1635,6_1635_*,6_1635_,
3398,6,337513,048,48,2,1,1637,*,,7,TI,I,AV.CANILLEJAS-POBLADURA VALLE,28,079,MADRID,A,Avda de Canillejas a Vicálvaro SN SN,20080121,20070929,,480.091,30,6,_,,,6__48_____2_IT_1_6_1637_*__TI_I_7,,,,6__48___,6__48_____2_IT_1,6_1637,6_1637_*,6_1637_,
3399,6,366343,167,167,2,1,1637,*,,16,TI,I,AV.CANILLEJAS-POBLADURA VALLE,28,079,MADRID,A,Avda de Canillejas a Vicálvaro SN SN,20210216,20210216,,480.0938,0,6,_,,,6__167_____2_IT_1_6_1637_*__TI_I_16,,616702,,6__167___,6__167____616702_2_IT_1,6_1637,6_1637_*,6_1637_,
3400,6,369768,506,N6,2,1,1637,*,,17,TI,I,AV.CANILLEJAS-POBLADURA VALLE,28,079,MADRID,A,Avda de Canillejas a Vicálvaro SN SN,20230404,20230410,,310.4886,13.086,6,_,,,6_N_506_____2_IT_1_6_1637_*__TI_I_17,,650602,,6_N_506___,6_N_506____650602_2_IT_1,6_1637,6_1637_*,6_1637_,
3401,6,337513,048,48,2,1,1638,*,,21,TI,I,ARTURO SORIA-MARQUESA DE TORRECILLA,28,079,MADRID,A,Calle de Arturo Soria N 8,20080121,20070929,,155.8448,-1,6,91_7,,,6__48_____2_IT_1_6_1638_*__TI_I_21,,,,6__48___,6__48_____2_IT_1,6_1638,6_1638_*,6_1638_,
3402,6,344448,070,70,2,1,1638,*,,17,TI,I,ARTURO SORIA-MARQUESA DE TORRECILLA,28,079,MADRID,A,Calle de Arturo Soria N 8,20110324,20110316,,155.8448,13.784,6,91_7,,,6__70_____2_IT_1_6_1638_*__TI_I_17,,,,6__70___,6__70_____2_IT_1,6_1638,6_1638_*,6_1638_,
3403,6,337513,048,48,2,1,1639,*,,22,TI,I,JOSE DEL HIERRO-MISTERIOS,28,079,MADRID,A,Calle de José del Hierro N 65A,20080121,20070929,,475.9276,-1,6,_,,,6__48_____2_IT_1_6_1639_*__TI_I_22,,,,6__48___,6__48_____2_IT_1,6_1639,6_1639_*,6_1639_,
3404,6,367389,146,146,2,1,1639,*,,8,TI,I,JOSE DEL HIERRO-MISTERIOS,28,079,MADRID,A,Calle de José del Hierro N 65A,20211026,20211026,,251.7637,-1,6,_,,,6__146_____2_IT_1_6_1639_*__TI_I_8,,,,6__146___,6__146_____2_IT_1,6_1639,6_1639_*,6_1639_,
3405,6,337513,048,48,2,1,1640,*,,23,TI,I,JOSE DEL HIERRO-MANDARINA,28,079,MADRID,A,Calle de José del Hierro N 39,20080121,20070929,,283.0278,-1,6,_,,,6__48_____2_IT_1_6_1640_*__TI_I_23,,,,6__48___,6__48_____2_IT_1,6_1640,6_1640_*,6_1640_,
3406,6,367389,146,146,2,1,1640,*,,9,TI,I,JOSE DEL HIERRO-MANDARINA,28,079,MADRID,A,Calle de José del Hierro N 39,20211026,20211026,,283.0278,-1,6,_,,,6__146_____2_IT_1_6_1640_*__TI_I_9,,,,6__146___,6__146_____2_IT_1,6_1640,6_1640_*,6_1640_,
3407,6,337513,048,48,2,1,1641,*,,24,TI,I,VIRGEN DEL PORTILLO-HNOS.DE PABLO,28,079,MADRID,A,Calle de la Virgen del Portillo N 39,20080121,20070929,,329.1888,12.662,6,_,,,6__48_____2_IT_1_6_1641_*__TI_I_24,,,,6__48___,6__48_____2_IT_1,6_1641,6_1641_*,6_1641_,
3408,6,367389,146,146,2,1,1641,*,,10,TI,I,VIRGEN DEL PORTILLO-HNOS.DE PABLO,28,079,MADRID,A,Calle de la Virgen del Portillo N 39,20211026,20211026,,329.1888,11.671,6,_,,,6__146_____2_IT_1_6_1641_*__TI_I_10,,,,6__146___,6__146_____2_IT_1,6_1641,6_1641_*,6_1641_,
3409,6,337513,048,48,2,1,1642,*,,25,TI,I,VIRGEN DEL PORTILLO-V.DEL SAGRARIO,28,079,MADRID,A,Calle de la Virgen del Portillo N 25,20080121,20070929,,242.4883,12.662,6,93_154,,,6__48_____2_IT_1_6_1642_*__TI_I_25,,,,6__48___,6__48_____2_IT_1,6_1642,6_1642_*,6_1642_,
3410,6,367389,146,146,2,1,1642,*,,11,TI,I,VIRGEN DEL PORTILLO-V.DEL SAGRARIO,28,079,MADRID,A,Calle de la Virgen del Portillo N 25,20211026,20211026,,242.4883,11.671,6,93_154,,,6__146_____2_IT_1_6_1642_*__TI_I_11,,,,6__146___,6__146_____2_IT_1,6_1642,6_1642_*,6_1642_,
3411,6,337513,048,48,2,1,1643,*,,26,TI,I,VIRGEN DEL PORTILLO-V.DE LAS NIEVES,28,079,MADRID,A,Calle de la Virgen del Portillo N 9,20080121,20070929,,369.3705,-1,6,_,,,6__48_____2_IT_1_6_1643_*__TI_I_26,,,,6__48___,6__48_____2_IT_1,6_1643,6_1643_*,6_1643_,
3412,6,367389,146,146,2,1,1643,*,,12,TI,I,VIRGEN DEL PORTILLO-V.DE LAS NIEVES,28,079,MADRID,A,Calle de la Virgen del Portillo N 9,20211026,20211026,,369.371,-1,6,_,,,6__146_____2_IT_1_6_1643_*__TI_I_12,,,,6__146___,6__146_____2_IT_1,6_1643,6_1643_*,6_1643_,
3413,6,337513,048,48,2,1,1644,*,,27,TI,I,AV.DONOSTIARRA-PZA.JOSE BANUS,28,079,MADRID,A,Avda de Donostiarra N 27,20080121,20070929,,261.3644,12.636,6,_,,,6__48_____2_IT_1_6_1644_*__TI_I_27,,,,6__48___,6__48_____2_IT_1,6_1644,6_1644_*,6_1644_,
3414,6,350310,021,21,2,1,1644,*,,10,TI,I,AV.DONOSTIARRA-PZA.JOSE BANUS,28,079,MADRID,A,Avda de Donostiarra N 27,20130822,20130823,,101.6725,11.321,6,_,,,6__21_____2_IT_1_6_1644_*__TI_I_10,,,,6__21___,6__21_____2_IT_1,6_1644,6_1644_*,6_1644_,
3415,6,335836,061,61,1,1,5468,*,,16,TI,I,DIEGO DE LEÓN - GRAL. DIAZ PORLIER,28,079,MADRID,A,Calle de Diego de León N 61,20070201,20060321,,245.4539,9.388,6,_,,,6__61_____1_IT_1_6_5468_*__TI_I_16,,,,6__61___,6__61_____1_IT_1,6_5468,6_5468_*,6_5468_,
3416,6,339805,004,4,1,1,5469,*,,24,TI,I,SAN CIPRIANO-CAÑOS DE SAN PEDRO,28,079,MADRID,A,Calle de San Cipriano N 53,20090116,20081213,,216.618,13.36,6,93_327,,,6__4_____1_IT_1_6_5469_*__TI_I_24,,,,6__4___,6__4_____1_IT_1,6_5469,6_5469_*,6_5469_,
3417,6,346645,106,106,1,1,5469,*,,30,TI,I,SAN CIPRIANO-CAÑOS DE SAN PEDRO,28,079,MADRID,A,Calle de San Cipriano N 53,20120131,20120109,,216.618,13.36,6,93_327,,,6__106_____1_IT_1_6_5469_*__TI_I_30,,,,6__106___,6__106_____1_IT_1,6_5469,6_5469_*,6_5469_,
3418,6,359377,507,N7,1,1,5469,*,,28,TI,I,SAN CIPRIANO-CAÑOS DE SAN PEDRO,28,079,MADRID,A,Calle de San Cipriano N 53,20090629,20170522,,216.618,13.36,6,93_327,,,6_N_507_____1_IT_1_6_5469_*__TI_I_28,,,,6_N_507___,6_N_507_____1_IT_1,6_5469,6_5469_*,6_5469_,
3419,6,342053,129,129,2,1,2900,*,,14,TI,IN,AV.BURGOS Nº30,28,079,MADRID,A,Avda de Burgos SN SN,20100412,20091110,,195.565,30,6,_,,,6__129_A____2_IT_1_6_2900_*__TI_IN_14,,,,6__129_A__,6__129_A____2_IT_1,6_2900,6_2900_*,6_2900_,
3420,6,369444,150,150,2,1,2900,*,,13,TI,I,AV.BURGOS Nº30,28,079,MADRID,A,Avda de Burgos SN SN,20230222,20230222,,195.566,-1,6,_,,,6__150_____2_IT_1_6_2900_*__TI_I_13,,,,6__150___,6__150_____2_IT_1,6_2900,6_2900_*,6_2900_,
3421,6,370811,174,174,2,1,2900,*,,32,TI,I,AV.BURGOS Nº30,28,079,MADRID,A,Avda de Burgos SN SN,20240111,20240108,,167.976,30,6,_,,,6__174_____2_IT_1_6_2900_*__TI_I_32,,,,6__174___,6__174_____2_IT_1,6_2900,6_2900_*,6_2900_,
3422,6,342053,129,129,2,1,2901,*,,15,TI,IN,BAMBU-YUCA,28,079,MADRID,A,Calle del Bambú N 33,20100412,20091110,,339.751,30,6,93_152,,,6__129_A____2_IT_1_6_2901_*__TI_IN_15,,,,6__129_A__,6__129_A____2_IT_1,6_2901,6_2901_*,6_2901_,
3423,6,369444,150,150,2,1,2901,*,,14,TI,I,BAMBU-YUCA,28,079,MADRID,A,Calle del Bambú N 33,20230222,20230222,,339.752,-1,6,93_152,,,6__150_____2_IT_1_6_2901_*__TI_I_14,,,,6__150___,6__150_____2_IT_1,6_2901,6_2901_*,6_2901_,
3424,6,370811,174,174,2,1,2901,*,,33,TI,I,BAMBU-YUCA,28,079,MADRID,A,Calle del Bambú N 33,20240111,20240108,,339.751,30,6,93_152,,,6__174_____2_IT_1_6_2901_*__TI_I_33,,,,6__174___,6__174_____2_IT_1,6_2901,6_2901_*,6_2901_,
3425,6,342053,129,129,2,1,2902,*,,16,TI,IN,BAMBU-AV.PIO XII,28,079,MADRID,A,Calle del Bambú N 4,20100412,20091110,,279.348,30,6,_,,,6__129_A____2_IT_1_6_2902_*__TI_IN_16,,,,6__129_A__,6__129_A____2_IT_1,6_2902,6_2902_*,6_2902_,
3426,6,369444,150,150,2,1,2902,*,,15,TI,I,BAMBU-AV.PIO XII,28,079,MADRID,A,Calle del Bambú N 4,20230222,20230222,,279.349,-1,6,_,,,6__150_____2_IT_1_6_2902_*__TI_I_15,,,,6__150___,6__150_____2_IT_1,6_2902,6_2902_*,6_2902_,
3427,6,370811,174,174,2,1,2902,*,,34,TI,I,BAMBU-AV.PIO XII,28,079,MADRID,A,Calle del Bambú N 4,20240111,20240108,,279.348,30,6,_,,,6__174_____2_IT_1_6_2902_*__TI_I_34,,,,6__174___,6__174_____2_IT_1,6_2902,6_2902_*,6_2902_,
3428,6,342053,129,129,2,1,2903,*,,17,TI,IN,AVDA.BURGOS-AVDA.PIO XII,28,079,MADRID,A,Avda de Burgos SN SN,20100412,20091110,,311.169,30,6,_,,,6__129_A____2_IT_1_6_2903_*__TI_IN_17,,,,6__129_A__,6__129_A____2_IT_1,6_2903,6_2903_*,6_2903_,
3429,6,370811,174,174,2,1,2903,*,,35,TI,I,AVDA.BURGOS-AVDA.PIO XII,28,079,MADRID,A,Avda de Burgos SN SN,20240111,20240108,,311.169,30,6,_,,,6__174_____2_IT_1_6_2903_*__TI_I_35,,,,6__174___,6__174_____2_IT_1,6_2903,6_2903_*,6_2903_,
3430,6,358867,176,176,1,1,2904,*,,5,TI,I,Pº CASTELLANA Nº 292-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana N 292,20151013,20170313,,369.781,13.36,6,_,,,6__176_____1_IT_1_6_2904_*__TI_I_5,,,,6__176___,6__176_____1_IT_1,6_2904,6_2904_*,6_2904_,
3431,6,368157,178,178,1,1,2904,*,,5,TI,I,Pº CASTELLANA Nº 292-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana N 292,20220531,20220601,,369.781,13.36,6,_,,,6__178_____1_IT_1_6_2904_*__TI_I_5,,,,6__178___,6__178_____1_IT_1,6_2904,6_2904_*,6_2904_,
3432,6,368156,175,175,1,1,2904,*,,5,TI,I,Pº CASTELLANA Nº 292-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana N 292,20220531,20220601,,369.781,13.36,6,_,,,6__175_____1_IT_1_6_2904_*__TI_I_5,,-,,6__175___,6__175____-_1_IT_1,6_2904,6_2904_*,6_2904_,
3433,6,370082,173,173,1,1,2904,*,,5,TI,I,Pº CASTELLANA Nº 292-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana N 292,20230607,20230530,,369.781,13.36,6,_,,,6__173_____1_IT_1_6_2904_*__TI_I_5,,,,6__173___,6__173_____1_IT_1,6_2904,6_2904_*,6_2904_,
3434,6,370810,174,174,1,1,2904,*,,5,TI,I,Pº CASTELLANA Nº 292-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana N 292,20240111,20240108,,369.781,13.36,6,_,,,6__174_____1_IT_1_6_2904_*__TI_I_5,,,,6__174___,6__174_____1_IT_1,6_2904,6_2904_*,6_2904_,
3435,6,358867,176,176,1,1,2905,*,,6,TI,I,Pº. CASTELLANA-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana SN SN,20151013,20170313,,209.2451,13.36,6,92_28,,,6__176_____1_IT_1_6_2905_*__TI_I_6,,,,6__176___,6__176_____1_IT_1,6_2905,6_2905_*,6_2905_,
3436,6,370082,173,173,1,1,2905,*,,6,TI,I,Pº. CASTELLANA-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana SN SN,20230607,20230530,,209.245,13.36,6,92_28,,,6__173_____1_IT_1_6_2905_*__TI_I_6,,,,6__173___,6__173_____1_IT_1,6_2905,6_2905_*,6_2905_,
3437,6,370810,174,174,1,1,2905,*,,6,TI,I,Pº. CASTELLANA-HOSPITAL LA PAZ,28,079,MADRID,A,Paseo de la Castellana SN SN,20240111,20240108,,209.245,13.36,6,92_28,,,6__174_____1_IT_1_6_2905_*__TI_I_6,,,,6__174___,6__174_____1_IT_1,6_2905,6_2905_*,6_2905_,
3438,6,370810,174,174,1,1,2906,*,,7,TI,I,AVDA.MANOTERAS-AVDA.BURGOS,28,079,MADRID,A,Avda de Manoteras N 2A,20240111,20240108,,1983.4973,17.901,6,_,,,6__174_____1_IT_1_6_2906_*__TI_I_7,,,,6__174___,6__174_____1_IT_1,6_2906,6_2906_*,6_2906_,
3439,6,370810,174,174,1,1,2907,*,,8,TI,I,OÑA-AV.MANOTERAS,28,079,MADRID,A,Calle de Oña SN SN,20240111,20240108,,198.57,30,6,_,,,6__174_____1_IT_1_6_2907_*__TI_I_8,,,,6__174___,6__174_____1_IT_1,6_2907,6_2907_*,6_2907_,
3440,6,370810,174,174,1,1,2908,*,,9,TI,I,OÑA-HOSPITAL,28,079,MADRID,A,Calle de Oña N 13,20240111,20240108,,188.1797,-1,6,_,,,6__174_____1_IT_1_6_2908_*__TI_I_9,,,,6__174___,6__174_____1_IT_1,6_2908,6_2908_*,6_2908_,
3441,6,370810,174,174,1,1,2909,*,,10,TI,I,OÑA-SIETE AMIGOS,28,079,MADRID,A,Calle de Oña N 51,20240111,20240108,,244.2448,-1,6,_,,,6__174_____1_IT_1_6_2909_*__TI_I_10,,,,6__174___,6__174_____1_IT_1,6_2909,6_2909_*,6_2909_,
3442,6,370810,174,174,1,1,2910,*,,11,TI,I,OÑA Nº111,28,079,MADRID,A,Calle de Oña N 111,20240111,20240108,,213.844,30,6,_,,,6__174_____1_IT_1_6_2910_*__TI_I_11,,,,6__174___,6__174_____1_IT_1,6_2910,6_2910_*,6_2910_,
3443,6,358867,176,176,1,1,2915,*,,8,TI,I,AVDA.BURGOS-FCO.PI Y MARGALL,28,079,MADRID,A,Avda de Burgos N 93,20151013,20170313,,715.9971,-1,6,_,,,6__176_____1_IT_1_6_2915_*__TI_I_8,,,,6__176___,6__176_____1_IT_1,6_2915,6_2915_*,6_2915_,
3444,6,370082,173,173,1,1,2915,*,,8,TI,I,AVDA.BURGOS-FCO.PI Y MARGALL,28,079,MADRID,A,Avda de Burgos N 93,20230607,20230530,,715.9971,-1,6,_,,,6__173_____1_IT_1_6_2915_*__TI_I_8,,,,6__173___,6__173_____1_IT_1,6_2915,6_2915_*,6_2915_,
