codigo_parada,longitud,latitud
299,-3.67544611033171,40.4584149417177
300,-3.67228472375625,40.458370277764
302,-3.66905748313092,40.4588214020591
303,-3.66929595014687,40.4590812844627
304,-3.66729525097068,40.4571378816295
305,-3.66696288474566,40.4575947504984
306,-3.66706420048912,40.4552383159518
307,-3.66675792926547,40.4552761159173
308,-3.66745721425449,40.4532360546392
309,-3.66719750174526,40.4532105244121
310,-3.66765274273853,40.4513160111816
311,-3.6673292836767,40.4510295878186
312,-3.66750235525016,40.4482538181329
313,-3.66594761921023,40.4485600670253
314,-3.67598125081193,40.4588532589117
315,-3.71428740864514,40.3658751615231
316,-3.69147882339103,40.4334374455295
317,-3.6971540048151,40.4326917040781
320,-3.70164187769844,40.4055113587643
321,-3.70144445528159,40.4052963372998
322,-3.70427094092386,40.4047521531197
323,-3.70388879821616,40.4046238450745
324,-3.707111325015,40.4039915975804
325,-3.70697567116073,40.403803235551
326,-3.71004917478682,40.4031898339482
327,-3.71330710556673,40.4013860189182
328,-3.71324236847408,40.4011837137714
329,-3.71728074274987,40.3972173063728
330,-3.71665652542038,40.3972481980869
331,-3.71904659350945,40.3959450864717
332,-3.71542501446957,40.3665618424502
334,-3.72308301558623,40.3937532733512
336,-3.72538482406226,40.3925181495034
337,-3.72893457386123,40.3906129647349
338,-3.72884928880279,40.3903522384087
340,-3.73121013044305,40.3888418500229
341,-3.73735332672256,40.3853389095346
342,-3.73729977469458,40.3851545643905
343,-3.73919797172317,40.3848721915574
344,-3.73964956473781,40.3845539904555
345,-3.74278706359008,40.3827320934495
346,-3.74252332261725,40.3826527030428
347,-3.74506523334589,40.3809877155104
348,-3.74493977962509,40.3807948272945
349,-3.74745057987211,40.3790579145185
350,-3.74616225023769,40.3800437080014
351,-3.74820218097615,40.3783773797978
352,-3.74805862580097,40.3782792072319
353,-3.75139312907663,40.3758116534491
354,-3.75338308134796,40.3746725891896
355,-3.75461514681613,40.3721240041331
356,-3.75454825781545,40.3719352490147
357,-3.75880787151452,40.3722857995428
358,-3.7590703081954002,40.3721849797088
359,-3.76529657040331,40.3750269097525
360,-3.7654893847228,40.3743679722045
361,-3.76630638371324,40.3775698022125
362,-3.76649062582181,40.377487501161
363,-3.76881221129416,40.3775622023136
364,-3.76932662256668,40.3772164409894
365,-3.77239233482866,40.3779482914937
366,-3.77266752829618,40.3779329420137
367,-3.77511150994116,40.3793400429251
368,-3.77738337112866,40.3791176050286
369,-3.78015154613165,40.3788692571162
370,-3.78036000851253,40.378845329797
371,-3.77986669646112,40.3810198394382
372,-3.78046234417128,40.3815924067783
373,-3.77741705587629,40.3818921729584
374,-3.77694345747516,40.3791836209488
375,-3.77454812133559,40.3789429088084
376,-3.75106809378965,40.3741200531168
377,-3.75121822741514,40.3743803429748
378,-3.75079657891271,40.3751308317012
379,-3.75104613788593,40.3753274134996
380,-3.71111261934453,40.4024400613707
381,-3.70981726819561,40.4030245880064
383,-3.6559845801616,40.4560853959296
384,-3.65595842570599,40.4562386969856
385,-3.65358054781033,40.457089979146
386,-3.65368858465166,40.4572470266825
387,-3.64989651253905,40.4571512545002
388,-3.64925509677768,40.4572944919845
389,-3.64733909914007,40.4571250388485
390,-3.64681071015532,40.4573712343082
391,-3.64379050213177,40.4579015773839
392,-3.6439785452001,40.4579861172466
393,-3.64231269694124,40.4596665375734
394,-3.64263764520051,40.4596512212085
395,-3.63925321693332,40.4620213005725
396,-3.64012528329775,40.4617056730117
397,-3.63751925237252,40.4626389664811
398,-3.63778052156535,40.4628267165615
399,-3.67918126545993,40.5108161316913
402,-3.66910329801329,40.5089784503654
405,-3.61544665155639,40.4613574770932
406,-3.61598252810254,40.4615122854963
407,-3.61674193830782,40.4641884195685
408,-3.66119830617096,40.453596286916
409,-3.66161247447079,40.453738065171
410,-3.66826255667246,40.4523845640708
411,-3.66853664353517,40.4526712697962
412,-3.67685221440327,40.4516049435458
413,-3.67710193651738,40.4518106903875
414,-3.6776223622325,40.449609450946596
415,-3.67800853381629,40.449273857458905
416,-3.68045460944679,40.4474577089214
417,-3.68086814417561,40.4475363590059
418,-3.68214010281773,40.446204549616
419,-3.68596266318296,40.445947733127205
420,-3.68623813174609,40.4456397948354
421,-3.69012216869494,40.446067160400894
422,-3.69005555719602,40.446472962352104
423,-3.6842085978824,40.4222103360285
424,-3.68402393107085,40.4249321557231
425,-3.68379209699484,40.4276542524136
426,-3.68351054073109,40.4301243881932
427,-3.68340134447385,40.4321520631214
428,-3.68320337749229,40.4347298112048
430,-3.682712440575541,40.4398228001346
431,-3.68265834291668,40.441471767867995
432,-3.68251073228596,40.4432023673969
433,-3.67947149294487,40.4493733898482
434,-3.68182733505636,40.4502694500038
435,-3.68100895348365,40.4521481369488
436,-3.68132835710285,40.452245356839
437,-3.67782643969951,40.4546713108363
438,-3.67863772849502,40.454423315929
439,-3.67665808216794,40.4581285867068
440,-3.67719509019269,40.45757589907
441,-3.68265034841936,40.4500213578374
442,-3.68393824474417,40.4479326794257
443,-3.68590833175354,40.4445156237075
444,-3.68613610953573,40.442559320262895
445,-3.686259587180711,40.4407838141112
446,-3.68643560897369,40.438377365011604
447,-3.68666965419273,40.435880480457705
448,-3.68681504029628,40.4339426794875
449,-3.6872550175206,40.4296697926079
451,-3.68791482385042,40.4261523539965
452,-3.68843778838563,40.4230951840549
453,-3.6850505811785,40.4517999715602
455,-3.68088548935179,40.4515993144675
456,-3.68092413494886,40.4519234109621
457,-3.67409227741076,40.4515759989106
458,-3.67402484560371,40.4519097242795
459,-3.67091504917904,40.4522791355938
460,-3.67097615979181,40.452494997377
461,-3.66500950559235,40.4525834722199
462,-3.66596812061237,40.4526230078517
464,-3.65857923367576,40.4549445437492
465,-3.63291923200311,40.4626551907861
466,-3.63292035138646,40.4628533824489
467,-3.62957883802418,40.4630788042152
468,-3.62973776462626,40.463005868152
469,-3.63006289098391,40.464549141303
470,-3.63007856188409,40.4641346425729
471,-3.63171297522001,40.4650401503748
472,-3.63174826611451,40.4648327511498
473,-3.63418458708082,40.4648870015256
474,-3.63421301773508,40.4647742334883
475,-3.63599237143539,40.4658365438166
476,-3.63630505994307,40.4658077990729
477,-3.63692155113874,40.467466567179706
478,-3.63722745672688,40.4673432629328
479,-3.63920601128484,40.4700440607211
480,-3.64192582587426,40.4700785641265
481,-3.64319441999885,40.4704363878964
482,-3.6436015883142,40.4703395312208
483,-3.64508393422979,40.4712682157485
484,-3.64508729414698,40.4710024323058
485,-3.64640047614461,40.4718554658143
486,-3.64668543851004,40.4717007221186
487,-3.64825194702036,40.4727099762731
488,-3.64942321676021,40.4729826909271
489,-3.64078980633241,40.4690443194733
490,-3.63905409121109,40.4690268847534
491,-3.69510310580286,40.4281589821704
492,-3.6926895814523,40.43042119632101
493,-3.69332046822398,40.430219222174
494,-3.69149061132661,40.432284220689
495,-3.69177613397615,40.4325347678537
496,-3.67396272988162,40.4967702043199
497,-3.66696259386287,40.4712298400711
498,-3.66740915549595,40.4710560963925
499,-3.66752569531464,40.4732986569998
500,-3.66798513483721,40.473232944449
501,-3.66772372849211,40.4755047108044
