linea,stopNum,longitude,latitude,distance
134,1546,-3.70554604975792,40.4831722212408,3362
134,1548,-3.70779264252878,40.4848611952098,3628
134,5982,-3.71134253292476,40.4845286266585,4087
134,1739,-3.71421101773562,40.4838848427019,4444
134,1741,-3.71416323789093,40.4868265535616,4774
134,1743,-3.71401313051219,40.4892283586902,5058
134,1745,-3.71338105334998,40.491979977585,5428
134,4968,-3.71299861790785,40.4940363676792,5767
134,1749,-3.71102922343294,40.4933232641119,5952
134,1751,-3.7088222964815,40.4947782268745,6256
134,1753,-3.70741626822376,40.4951066450816,6381
134,1762,-3.70461671248297,40.4971056827401,6788
134,1760,-3.70727458304457,40.4984768454273,7063
134,3623,-3.70853369931991,40.499252920144,7234
134,3634,-3.70692242005955,40.501753735844,7642
134,2864,-3.70639716735655,40.5035091750692,7894
134,2968,-3.70239026509226,40.5032993282182,8235
134,2970,-3.69876975647785,40.5035014200525,8541
134,1021,-3.69604860367144,40.5048286116298,8812
134,1022,-3.69436241834522,40.5067035826473,9063
134,1025,-3.69246513409209,40.5089716789855,9362
134,3279,-3.69223918085228,40.5107117482951,9598
023,912,-3.70636099901751,40.4135773029372,0
023,545,-3.7083694204266,40.4115965583065,399
023,547,-3.71050421569425,40.4088942791093,760
023,2589,-3.71142752402291,40.4075237393183,931
023,594,-3.71214396939357,40.4061679777909,1113
023,914,-3.71323990890739,40.4040260870205,1370
023,916,-3.71431109443881,40.4015690208249,1658
023,918,-3.71490152282885,40.397358144933996,2487
023,920,-3.71141985886136,40.39568588016039,2836
023,922,-3.70741353109661,40.393791488657705,3238
023,924,-3.70370641527298,40.3917194624348,3633
023,926,-3.70191511787656,40.390198788818,3860
023,928,-3.70045225256117,40.3889193463141,4049
023,930,-3.69822778422361,40.387081410738304,4348
023,932,-3.696116281628461,40.3845445480004,4702
023,934,-3.69573599917446,40.381501758935194,5041
023,936,-3.6949538363287,40.380191126165,5356
023,3192,-3.69264437041591,40.3802950506002,5553
023,5124,-3.69105185722989,40.37893517929751,5873
023,937,-3.69183707299902,40.377380926212396,6072
023,939,-3.69259261537993,40.374907915943,6360
023,941,-3.69244325150098,40.3727556317014,6600
023,943,-3.69230245606924,40.3710447418501,6790
023,2839,-3.6920200108105,40.3684022539668,7086
023,4865,-3.69017821033428,40.366823132701995,7370
023,4867,-3.6886012208469,40.3659766511903,7534
023,5638,-3.68485495371927,40.3633907178862,7983
023,1800,-3.68302704691701,40.360018581082,8423
023,1798,-3.68437795696051,40.3585060827209,8628
023,3199,-3.68593337961426,40.3578617392912,8806
023,3188,-3.686193981761,40.3597926553643,9044
023,3418,-3.68979592745097,40.3586631401004,9542
023,3413,-3.6897371876692,40.3574112200995,9681
023,3414,-3.68960655637618,40.3549885397365,9961
023,1794,-3.69136192394175,40.3527438101797,10309
023,3880,-3.69258316077352,40.3507094581845,10775
130,5339,-3.70821144116892,40.3463401310134,0
130,1198,-3.70644945507121,40.3461842201671,174
130,1194,-3.70538127673216,40.3499024971072,636
130,1192,-3.69987799450372,40.3495439782617,1128
130,1787,-3.69767885159912,40.3500392326342,1354
130,1789,-3.6943338372818,40.3511899770869,1667
130,1793,-3.69123138447347,40.3526454885805,2032
130,1795,-3.68855338780652,40.3544902923465,2338
130,4834,-3.68686073360183,40.3560003623043,2559
130,1797,-3.68463212631682,40.3580180875474,2860
130,1799,-3.68282730195024,40.3600287677408,3130
130,3844,-3.66304927398488,40.3603193309074,5324
130,4807,-3.65642416818313,40.3634066511374,6086
130,4630,-3.6540653278294,40.365474075062,6466
130,1801,-3.65144612385642,40.3669302937535,7012
130,1803,-3.64546201299941,40.3703872574162,7770
130,5039,-3.64819951955623,40.3728449787073,8161
130,1805,-3.64530624712891,40.3741314170889,8468
130,1807,-3.64204265447268,40.374964875161,8772
130,1809,-3.63797864801118,40.3759918431354,9135
130,5326,-3.63549800155151,40.3767577385131,9361
130,5758,-3.62973174672764,40.3775730179656,9977
130,1813,-3.62797857391892,40.3790330025217,10197
130,1815,-3.62584481531971,40.3806301535664,10451
130,4693,-3.62423602033378,40.3819541641605,10703
130,5752,-3.62475893814121,40.3839243418078,10967
130,1820,-3.62222199319243,40.3897128343545,11642
130,1822,-3.61768078077509,40.3969263981038,12923
130,1824,-3.62194397004887,40.3979306260233,13301
130,1826,-3.62140665106483,40.3998524460189,13554
130,1828,-3.62054312525963,40.4019471834418,13798
130,3556,-3.62000040639076,40.4031663160101,13941
130,4353,-3.61932183595537,40.4053186122926,14201
130,4576,-3.61661640319365,40.4063330524971,14566
130,1064,-3.61484285161397,40.4075271733215,14834
130,1066,-3.61309942449698,40.4063201873442,15034
130,1067,-3.61037175645157,40.4044336740483,15346
130,4566,-3.60887916312839,40.4048919827551,15541
131,5301,-3.76772697552617,40.3953307754235,0
131,3208,-3.7671910439798,40.3914829563716,480
131,3211,-3.76576899683132,40.3889428051539,863
131,3209,-3.76288805710701,40.3865113552483,1227
131,658,-3.76087129627859,40.3848219100316,1481
131,660,-3.75779828338099,40.3818420388191,1910
131,662,-3.75591037454563,40.3784129091276,2322
131,3187,-3.75075519592816,40.3765455267784,2812
131,2463,-3.74893554436585,40.3762149633141,2972
131,2461,-3.74712198014735,40.3751996410518,3166
131,2459,-3.74757068333031,40.3731606908366,3634
131,2457,-3.74540387687756,40.3729854662505,3825
131,3186,-3.74113191605687,40.3732876599924,4208
131,3185,-3.73827178890476,40.3738059321125,4464
131,3183,-3.73540133335429,40.3737836533375,4710
131,3181,-3.73269741926621,40.3735710587387,4940
131,3180,-3.72655769731766,40.3733394642552,5463
131,3178,-3.72220199864019,40.3736009426961,5833
131,3139,-3.71848098733784,40.3738357988758,6151
131,3141,-3.71585670210281,40.3738385345524,6374
