linea,stopNum,latitude,longitude,distance
130,4566,-3.60887916312839,40.4048919827551,0
130,1076,-3.61117904933398,40.4078618786424,494
130,1077,-3.61322600443653,40.4072834891308,684
130,1835,-3.61494572868224,40.405837424456,902
130,1062,-3.61630760686802,40.4055058601618,1071
130,1831,-3.61927603582707,40.4038143401624,1673
130,1829,-3.62114419892874,40.4019529712278,2009
130,1827,-3.62184689890298,40.400192429087,2213
130,1825,-3.62223844245512,40.3972353445173,2588
130,1823,-3.61795892837276,40.3962537370818,2968
130,1821,-3.62252609000802,40.3894679548484,4011
130,5751,-3.6251564629807,40.3841924708491,4647
130,1027,-3.62513741650955,40.3826069694239,4859
130,4694,-3.62493704310502,40.3813197466927,5045
130,4704,-3.62619646372938,40.3805967215517,5188
130,1814,-3.62738310494585,40.3797299308738,5327
130,5759,-3.63000132813346,40.3775445249948,5656
130,5327,-3.6353810729236,40.3769295531598,6140
130,1810,-3.63831769263593,40.3760305166615,6408
130,1808,-3.64208882765923,40.375059215057,6747
130,1806,-3.6448101951953,40.3743819299626,6998
130,5037,-3.6487567430913,40.3719499562795,7453
130,1804,-3.64574210430115,40.3703451555211,7736
130,4805,-3.65436703860319,40.3653102069161,8958
130,4806,-3.65665539691235,40.3635675052355,9302
130,4808,-3.66206649987039,40.3603474741527,9897
130,1800,-3.68302704691701,40.360018581082,14850
130,1798,-3.68437795696051,40.3585060827209,15054
130,4833,-3.68689756725982,40.3561487947005,15401
130,1796,-3.68889479195864,40.3544792535185,15652
130,1794,-3.69136192394175,40.3527438101797,15955
130,1790,-3.69460857662631,40.3512468895336,16301
130,1788,-3.6978615510031,40.3500921870603,16605
130,1191,-3.7010816894456,40.3498655336853,16905
130,1193,-3.70590190276256,40.350142572637,17327
130,1195,-3.70664769715303,40.3471289715274,17685
130,5339,-3.70821144116892,40.3463401310134,17870
131,1196,-3.70875154649471,40.3467557531621,0
131,1198,-3.70644945507121,40.3461842201671,322
131,3218,-3.70616348346426,40.3503842252002,802
131,4238,-3.70816123898547,40.3526333238155,1104
131,3216,-3.71183370230844,40.3543315596279,1481
131,4627,-3.71334947382456,40.3563537943558,1760
131,5455,-3.71510134708143,40.3600952938519,2208
131,3736,-3.71222018366012,40.3669149300946,3083
131,3214,-3.71226343542383,40.3686489183627,3275
131,3213,-3.71225173942405,40.3697075607924,3392
131,2842,-3.71221602461222,40.3727888951821,3734
131,3176,-3.71308554910574,40.3737024738231,3909
131,3142,-3.71587797178505,40.3740050714838,4147
131,3140,-3.71889111492494,40.3740134360449,4402
131,3177,-3.72216906201971,40.3738263755801,4681
131,3179,-3.72714722961743,40.3734934237724,5105
131,5057,-3.73270052048774,40.3737557256124,5582
131,3182,-3.73541589887918,40.3740403200844,5814
131,3184,-3.73824661126911,40.373995283601,6052
131,2453,-3.74156672109563,40.3736632587141,6334
131,2456,-3.74511231597446,40.3731179742983,6737
131,2458,-3.74749619887871,40.3732827943641,6948
131,2460,-3.74676969732366,40.3753010131441,7371
131,2462,-3.74883667518064,40.376395784406,7581
131,667,-3.75070816560247,40.3767530406441,7744
131,663,-3.75565222592923,40.3785046846881,8228
131,661,-3.75805554981458,40.382723244432,8740
131,659,-3.76116761130187,40.3854055522669,9139
131,3210,-3.76225618601559,40.386276776015,9271
131,3212,-3.76561599411568,40.3890879618716,9694
131,2325,-3.76698973040988,40.3913941994078,10029
131,4632,-3.76756950906918,40.3944984819625,10419
131,5301,-3.76772697552617,40.3953307754235,10725
132,1602,-3.68898905847552,40.4806953910896,0
132,1604,-3.691314274975091,40.481037382383,223
132,3291,-3.69434510170305,40.481762481291106,490
132,3289,-3.69704431068476,40.481503018567295,735
132,1379,-3.69955888530102,40.4830328834398,1050
132,1380,-3.70225173201523,40.4820526222822,1302
132,1371,-3.70299002849154,40.4802959020403,1554
132,93,-3.70676231940857,40.479110778651794,1960
132,1367,-3.70871361705461,40.478670923952905,2133
132,1365,-3.71093903257678,40.4782158397203,2327
132,3287,-3.71543870785026,40.4772962318968,2723
132,1509,-3.71647618485783,40.475906942249004,2979
132,1511,-3.718230174614051,40.4755447239577,3131
132,1513,-3.72086623510354,40.474064384635795,3432
132,1515,-3.72044334836971,40.472576036451194,3602
132,1658,-3.71975402684297,40.4702650240694,3893
132,1656,-3.71951169333926,40.4681764531099,4150
132,1654,-3.71933116348155,40.4657631742989,4430
132,4643,-3.71953462556001,40.465104255754,4514
132,1652,-3.72022719649202,40.4632666252365,4724
132,1650,-3.71816010194412,40.4627164067628,4960
132,1648,-3.71534738611052,40.4632473322869,5222
