from_node,to_node,edge,from_lat,from_lon,to_lat,to_lon,n_buses,weight
28012,28005,31,0.3996213655310972,0.5092045892074456,0.38978533444193536,0.4616539196003643,22,0.8461538461538461
28053,28031,130,0.21962457947679576,0.6337761386526343,0.20752381156562513,0.80487146452516,2,0.07692307692307693
28018,28038,144,0.24540008317059736,0.678082617009751,0.3111113088064097,0.6889400038267626,8,0.3076923076923077
28018,28038,N10,0.24540008317059736,0.678082617009751,0.3111113088064097,0.6889400038267626,8,0.3076923076923077
28012,28045,60,0.3996213655310972,0.5092045892074456,0.32226808787403033,0.5377371673246666,12,0.46153846153846156
28012,28045,148,0.3996213655310972,0.5092045892074456,0.32226808787403033,0.5377371673246666,12,0.46153846153846156
28012,28045,N17,0.3996213655310972,0.5092045892074456,0.32226808787403033,0.5377371673246666,12,0.46153846153846156
28013,28004,3,0.4737624638719157,0.48576698607537544,0.5007594657188676,0.5235780692350567,1,0.038461538461538464
28037,28027,N5,0.5325953053433123,0.7925591243611104,0.6095338683840268,0.7210870895887964,6,0.23076923076923078
28002,28043,9,0.6339176845920969,0.5998064252422536,0.7336027951957157,0.7139572584965097,4,0.15384615384615385
28002,28043,72,0.6339176845920969,0.5998064252422536,0.7336027951957157,0.7139572584965097,4,0.15384615384615385
28002,28043,73,0.6339176845920969,0.5998064252422536,0.7336027951957157,0.7139572584965097,4,0.15384615384615385
28002,28043,N2,0.6339176845920969,0.5998064252422536,0.7336027951957157,0.7139572584965097,4,0.15384615384615385
28053,28018,310,0.21962457947679576,0.6337761386526343,0.24540008317059736,0.678082617009751,12,0.46153846153846156
28053,28031,T31,0.21962457947679576,0.6337761386526343,0.20752381156562513,0.80487146452516,2,0.07692307692307693
28053,28018,N11,0.21962457947679576,0.6337761386526343,0.24540008317059736,0.678082617009751,12,0.46153846153846156
28033,28050,172,0.814041833236785,0.6806399467739999,0.9669028454886545,0.6482433402744147,6,0.23076923076923078
28033,28050,172SF,0.814041833236785,0.6806399467739999,0.9669028454886545,0.6482433402744147,6,0.23076923076923078
28050,28055,174,0.9669028454886545,0.6482433402744147,0.9099566950830811,0.8089763477641735,4,0.15384615384615385
28050,28055,BR1,0.9669028454886545,0.6482433402744147,0.9099566950830811,0.8089763477641735,4,0.15384615384615385
28050,28033,N1,0.9669028454886545,0.6482433402744147,0.814041833236785,0.6806399467739999,4,0.15384615384615385
28032,28022,N6,0.3749273235969399,0.8419021035095611,0.5916338214391743,0.8795588985394235,8,0.3076923076923077
28027,28022,200,0.6095338683840268,0.7210870895887964,0.5916338214391743,0.8795588985394235,4,0.15384615384615385
28043,28002,115,0.7336027951957157,0.7139572584965097,0.6339176845920969,0.5998064252422536,4,0.15384615384615385
28043,28002,200,0.7336027951957157,0.7139572584965097,0.6339176845920969,0.5998064252422536,4,0.15384615384615385
28007,28017,15,0.3848456488331497,0.6089426049396386,0.5059417641288236,0.710334551392078,4,0.15384615384615385
28007,28017,28,0.3848456488331497,0.6089426049396386,0.5059417641288236,0.710334551392078,4,0.15384615384615385
28007,28017,71,0.3848456488331497,0.6089426049396386,0.5059417641288236,0.710334551392078,4,0.15384615384615385
28007,28017,N6,0.3848456488331497,0.6089426049396386,0.5059417641288236,0.710334551392078,4,0.15384615384615385
28007,28009,20,0.3848456488331497,0.6089426049396386,0.4758814512675327,0.6031612612471213,8,0.3076923076923077
28005,28011,17,0.38978533444193536,0.4616539196003643,0.3940304837161055,0.3551465209615621,11,0.4230769230769231
28005,28011,N16,0.38978533444193536,0.4616539196003643,0.3940304837161055,0.3551465209615621,11,0.4230769230769231
28027,28028,53,0.6095338683840268,0.7210870895887964,0.5456058493693293,0.6322700904617412,10,0.38461538461538464
28027,28028,122,0.6095338683840268,0.7210870895887964,0.5456058493693293,0.6322700904617412,10,0.38461538461538464
28027,28028,N3,0.6095338683840268,0.7210870895887964,0.5456058493693293,0.6322700904617412,10,0.38461538461538464
28001,28004,37,0.49469003019810054,0.5613600182696549,0.5007594657188676,0.5235780692350567,7,0.2692307692307692
28003,28020,5,0.6229384194838817,0.48632740320292644,0.6972974560788764,0.5165895827646743,4,0.15384615384615385
28044,28047,139,0.1927360223328309,0.2718998801168237,0.28936087657609366,0.32478256298964686,8,0.3076923076923077
28051,28031,N9,0.12178176701967121,0.8851538112824955,0.20752381156562513,0.80487146452516,3,0.11538461538461539
28003,28015,2,0.6229384194838817,0.48632740320292644,0.554556716871475,0.4618178607605547,7,0.2692307692307692
28003,28015,12,0.6229384194838817,0.48632740320292644,0.554556716871475,0.4618178607605547,7,0.2692307692307692
28032,28030,100,0.3749273235969399,0.8419021035095611,0.37201594199146193,0.7237280823650205,9,0.34615384615384615
28025,28054,SE702,0.22206734241762074,0.3836322274124381,0.13574049261048496,0.33207029610339855,5,0.19230769230769232
28037,28022,77,0.5325953053433123,0.7925591243611104,0.5916338214391743,0.8795588985394235,11,0.4230769230769231
28032,28022,N7,0.3749273235969399,0.8419021035095611,0.5916338214391743,0.8795588985394235,8,0.3076923076923077
28001,28006,1,0.49469003019810054,0.5613600182696549,0.5590919697108422,0.5862718854724154,9,0.34615384615384615
28001,28006,9,0.49469003019810054,0.5613600182696549,0.5590919697108422,0.5862718854724154,9,0.34615384615384615
28001,28006,19,0.49469003019810054,0.5613600182696549,0.5590919697108422,0.5862718854724154,9,0.34615384615384615
28001,28006,51,0.49469003019810054,0.5613600182696549,0.5590919697108422,0.5862718854724154,9,0.34615384615384615
28001,28006,74,0.49469003019810054,0.5613600182696549,0.5590919697108422,0.5862718854724154,9,0.34615384615384615
28001,28006,N4,0.49469003019810054,0.5613600182696549,0.5590919697108422,0.5862718854724154,9,0.34615384615384615
28034,28050,175,0.9179212336996587,0.5147379330187924,0.9669028454886545,0.6482433402744147,4,0.15384615384615385
28007,28028,2,0.3848456488331497,0.6089426049396386,0.5456058493693293,0.6322700904617412,6,0.23076923076923078
28007,28028,30,0.3848456488331497,0.6089426049396386,0.5456058493693293,0.6322700904617412,6,0.23076923076923078
28007,28028,56,0.3848456488331497,0.6089426049396386,0.5456058493693293,0.6322700904617412,6,0.23076923076923078
28007,28028,143,0.3848456488331497,0.6089426049396386,0.5456058493693293,0.6322700904617412,6,0.23076923076923078
28007,28028,156,0.3848456488331497,0.6089426049396386,0.5456058493693293,0.6322700904617412,6,0.23076923076923078
