codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
1112,1836,ARTURO SORIA-CTA.SGDO.CORAZON,107,Calle de Arturo Soria 257,28033,15
1112,1836,ARTURO SORIA-CTA.SGDO.CORAZON,N1,Calle de Arturo Soria 257,28033,15
1113,211,CAIDOS DIVISION AZUL-CTE.FRANCO,29,Calle de los Caídos de la División Azul 15,28016,5
1113,211,CAIDOS DIVISION AZUL-CTE.FRANCO,70,Calle de los Caídos de la División Azul 15,28016,5
1113,211,CAIDOS DIVISION AZUL-CTE.FRANCO,107,Calle de los Caídos de la División Azul 15,28016,5
1113,211,CAIDOS DIVISION AZUL-CTE.FRANCO,N1,Calle de los Caídos de la División Azul 15,28016,5
1128,1262,ARROYO DE LA MEDIA LEGUA,30,Calle del Arroyo de la Media Legua 46,28030,14
1128,1262,ARROYO DE LA MEDIA LEGUA,32,Calle del Arroyo de la Media Legua 46,28030,14
1128,1262,ARROYO DE LA MEDIA LEGUA,113,Calle del Arroyo de la Media Legua 46,28030,14
1128,1262,ARROYO DE LA MEDIA LEGUA,N8,Calle del Arroyo de la Media Legua 46,28030,14
2891,138,ARTURO SORIA-DALIA,125,Calle de Arturo Soria 330,28033,15
2891,138,ARTURO SORIA-DALIA,129,Calle de Arturo Soria 330,28033,15
2891,138,ARTURO SORIA-DALIA,150,Calle de Arturo Soria 330,28033,15
2645,2334,ALCALA-EMILIO FERRARI,38,Calle de Alcalá 360,28017,15
2645,2334,ALCALA-EMILIO FERRARI,109,Calle de Alcalá 360,28017,15
2645,2334,ALCALA-EMILIO FERRARI,113,Calle de Alcalá 360,28017,15
2645,2334,ALCALA-EMILIO FERRARI,N5,Calle de Alcalá 360,28017,15
1348,2337,ALCALA-BOLDANO,38,Calle de Alcalá 401,28027,15
1348,2337,ALCALA-BOLDANO,109,Calle de Alcalá 401,28027,15
