,codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada,longitud,latitud
1170,2546,4509,AV.GUADALAJARA-ALBERICIA,159,Avda de Guadalajara 105,28037,20,-3.61296649291395,40.422388567650806
1171,2546,4509,AV.GUADALAJARA-ALBERICIA,E2,Avda de Guadalajara 105,28037,20,-3.61296649291395,40.422388567650806
1172,2546,4509,AV.GUADALAJARA-ALBERICIA,N7,Avda de Guadalajara 105,28037,20,-3.61296649291395,40.422388567650806
1173,2551,2969,TRESPADERNE-BARBADILLO,112,Calle de Trespaderne 5,28042,21,-3.58119239587343,40.4511785742865
1174,2551,2969,TRESPADERNE-BARBADILLO,114,Calle de Trespaderne 5,28042,21,-3.58119239587343,40.4511785742865
1175,2551,2969,TRESPADERNE-BARBADILLO,N4,Calle de Trespaderne 5,28042,21,-3.58119239587343,40.4511785742865
1176,2560,1308,Pº ALAMEDA DE OSUNA Nº 80,105,Paseo de la Alameda de Osuna 78,28042,21,-3.58772801214435,40.4595600156783
1177,2560,1308,Pº ALAMEDA DE OSUNA Nº 80,112,Paseo de la Alameda de Osuna 78,28042,21,-3.58772801214435,40.4595600156783
1178,2560,1308,Pº ALAMEDA DE OSUNA Nº 80,115,Paseo de la Alameda de Osuna 78,28042,21,-3.58772801214435,40.4595600156783
1179,2560,1308,Pº ALAMEDA DE OSUNA Nº 80,151,Paseo de la Alameda de Osuna 78,28042,21,-3.58772801214435,40.4595600156783
1180,2560,1308,Pº ALAMEDA DE OSUNA Nº 80,N4,Paseo de la Alameda de Osuna 78,28042,21,-3.58772801214435,40.4595600156783
1181,2561,1309,LOS BREZOS-ANTONIO SANCHA,105,Calle de Los Brezos SN,28042,21,-3.58805648958268,40.461134924427
1182,2561,1309,LOS BREZOS-ANTONIO SANCHA,112,Calle de Los Brezos SN,28042,21,-3.58805648958268,40.461134924427
1183,2561,1309,LOS BREZOS-ANTONIO SANCHA,115,Calle de Los Brezos SN,28042,21,-3.58805648958268,40.461134924427
1184,2561,1309,LOS BREZOS-ANTONIO SANCHA,151,Calle de Los Brezos SN,28042,21,-3.58805648958268,40.461134924427
1185,2561,1309,LOS BREZOS-ANTONIO SANCHA,166,Calle de Los Brezos SN,28042,21,-3.58805648958268,40.461134924427
1186,2563,1313,AV.LOGROÑO-MARQUES DE BERNA,105,Avda de Logroño 243,28042,21,-3.58553600908736,40.4646206643298
1187,2563,1313,AV.LOGROÑO-MARQUES DE BERNA,112,Avda de Logroño 243,28042,21,-3.58553600908736,40.4646206643298
1188,2563,1313,AV.LOGROÑO-MARQUES DE BERNA,115,Avda de Logroño 243,28042,21,-3.58553600908736,40.4646206643298
1189,2563,1313,AV.LOGROÑO-MARQUES DE BERNA,N4,Avda de Logroño 243,28042,21,-3.58553600908736,40.4646206643298
1190,2566,1321,AVDA. LOGROÑO-ALGEMESI,105,Avda de Logroño 130,28042,21,-3.58170572531091,40.4724552675882
1191,2566,1321,AVDA. LOGROÑO-ALGEMESI,115,Avda de Logroño 130,28042,21,-3.58170572531091,40.4724552675882
1192,2566,1321,AVDA. LOGROÑO-ALGEMESI,166,Avda de Logroño 130,28042,21,-3.58170572531091,40.4724552675882
1193,2566,1321,AVDA. LOGROÑO-ALGEMESI,N4,Avda de Logroño 130,28042,21,-3.58170572531091,40.4724552675882
1194,2569,2990,CICLON-ALISIOS,105,Calle del Ciclón 19,28042,21,-3.59406208189201,40.4724195736572
1195,2570,2991,MISTRAL-GTA.DE LOS VIENTOS,105,Calle del Mistral 3,28042,21,-3.59681473902618,40.473450463305
1196,2574,1322,AV.LOGROÑO-ALGEMESI,105,Avda de Logroño 323,28042,21,-3.58195224972003,40.4723999752189
1197,2574,1322,AV.LOGROÑO-ALGEMESI,115,Avda de Logroño 323,28042,21,-3.58195224972003,40.4723999752189
1198,2574,1322,AV.LOGROÑO-ALGEMESI,166,Avda de Logroño 323,28042,21,-3.58195224972003,40.4723999752189
1199,2574,1322,AV.LOGROÑO-ALGEMESI,N4,Avda de Logroño 323,28042,21,-3.58195224972003,40.4723999752189
1200,2577,1316,AV.LOGROÑO-ARIADNA,105,Avda de Logroño 303,28042,21,-3.58166460915478,40.469050075380096
1201,2577,1316,AV.LOGROÑO-ARIADNA,115,Avda de Logroño 303,28042,21,-3.58166460915478,40.469050075380096
1202,2577,1316,AV.LOGROÑO-ARIADNA,166,Avda de Logroño 303,28042,21,-3.58166460915478,40.469050075380096
1203,2577,1316,AV.LOGROÑO-ARIADNA,N4,Avda de Logroño 303,28042,21,-3.58166460915478,40.469050075380096
1204,2579,4921,AV.LOGROÑO-BENIFAYO,105,Avda de Logroño 223,28042,21,-3.58848843908866,40.4629075041349
1205,2579,4921,AV.LOGROÑO-BENIFAYO,112,Avda de Logroño 223,28042,21,-3.58848843908866,40.4629075041349
1206,2579,4921,AV.LOGROÑO-BENIFAYO,115,Avda de Logroño 223,28042,21,-3.58848843908866,40.4629075041349
1207,2582,2981,Pº ALAMEDA OSUNA-RAMBLAS,105,Paseo de la Alameda de Osuna SN,28042,21,-3.59548761259497,40.4554302908294
1208,2584,4762,FTE.CARRANTONA-AV.DAROCA,140,Calle de la Fuente Carrantona SN,28017,15,-3.62667516770291,40.416382747341
1209,2584,4762,FTE.CARRANTONA-AV.DAROCA,E2,Calle de la Fuente Carrantona SN,28017,15,-3.62667516770291,40.416382747341
1210,2587,1079,AV.DAROCA-MATEO GARCIA,106,Avda de Daroca 58,28017,15,-3.65306727708758,40.4294487142278
1211,2587,1079,AV.DAROCA-MATEO GARCIA,N7,Avda de Daroca 58,28017,15,-3.65306727708758,40.4294487142278
1212,2588,1080,AV.DAROCA-SANTA PRISCA,106,Avda de Daroca 92,28017,15,-3.6479453771503,40.427554053104
1213,2588,1080,AV.DAROCA-SANTA PRISCA,N7,Avda de Daroca 92,28017,15,-3.6479453771503,40.427554053104
1214,2591,1084,FCO.LARGO CABALLERO-ARRIAGA,106,Calle de Francisco Largo Caballero 15,28017,15,-3.63853926000975,40.4232008697988
1215,2591,1084,FCO.LARGO CABALLERO-ARRIAGA,N7,Calle de Francisco Largo Caballero 15,28017,15,-3.63853926000975,40.4232008697988
1216,2528,3500,JOSEFA VALCARCEL-ARTURO SORIA,114,Calle de Josefa Valcárcel 2,28027,15,-3.64937280861086,40.4478343807251
1217,2458,4576,CASALARREINA-GALLO,100,Calle  Casalarreina SN,28032,19,-3.61661640319365,40.4063330524971
1218,2458,4576,CASALARREINA-GALLO,130,Calle  Casalarreina SN,28032,19,-3.61661640319365,40.4063330524971
1219,2459,1064,AV.DAROCA-CASALARREINA,100,Avda de Daroca 302,28032,19,-3.61484285161397,40.4075271733215
1220,2459,1064,AV.DAROCA-CASALARREINA,130,Avda de Daroca 302,28032,19,-3.61484285161397,40.4075271733215
1221,2459,1064,AV.DAROCA-CASALARREINA,E3,Avda de Daroca 302,28032,19,-3.61484285161397,40.4075271733215
1222,2459,1064,AV.DAROCA-CASALARREINA,E5,Avda de Daroca 302,28032,19,-3.61484285161397,40.4075271733215
1223,5425,3399,NTRA.SRA.VALVERDE-ALONSO QUIJANO,T61,Calle de Nuestra Señora de Valverde 179,28034,8,-3.68561320907904,40.5044314385282
1224,3243,398,SILVANO-EL ALGABEÑO,120,Calle de Silvano 77,28043,16,-3.63778052156535,40.4628267165615
1225,3243,398,SILVANO-EL ALGABEÑO,122,Calle de Silvano 77,28043,16,-3.63778052156535,40.4628267165615
1226,3244,396,SILVANO-ALCORISA,120,Calle de Silvano 71,28043,16,-3.64012528329775,40.4617056730117
1227,3244,396,SILVANO-ALCORISA,122,Calle de Silvano 71,28043,16,-3.64012528329775,40.4617056730117
1228,3247,388,MOSCATELAR-PARMA,120,Calle del Moscatelar 11,28043,16,-3.64925509677768,40.4572944919845
